
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
199405   2.00   3.32   0.62   1.10   1.69   1.18   0.36   2.09   1.06
199406   3.71   4.61   2.98   4.74   2.98   4.36   4.61   4.56   3.13
199407  -2.29  -3.17  -2.04  -1.20  -2.60  -3.36  -0.94  -2.39  -2.44
199408   1.78   1.99   1.55   1.02   2.14   3.86   1.89   2.05   1.47
199409  -2.59  -2.01  -2.73  -1.99  -3.02  -1.92  -2.03  -1.63  -2.86
199410   2.74   3.85   2.23   1.47   2.39   3.32   1.83   2.68   2.25
199411  -6.22  -6.34  -5.98  -4.79  -7.19  -6.28  -5.13  -6.11  -6.56
199412   1.27   0.87   1.99   0.71   2.56   1.42  -0.53   0.45   2.02
199501  -6.81  -6.23  -6.31  -6.03  -6.68  -9.39  -7.23  -6.24  -6.29
199502  -2.53  -2.12  -2.89  -1.20  -3.26  -0.32  -3.38  -1.11  -2.68
199503   7.52   8.42   7.53   9.37   6.92  10.69   6.79   8.52   6.02
199504   4.23   1.59   5.21   2.88   5.40   2.61   3.60   2.84   5.37
199505  -3.67  -3.79  -3.36  -2.03  -3.86  -3.37  -3.90  -3.15  -3.09
199506  -4.07  -2.23  -5.60  -1.09  -5.87  -0.76  -3.07  -2.03  -6.89
199507   6.53   6.03   7.17   3.67   8.54   3.53   5.80   3.69   9.46
199508  -2.79  -1.60  -3.78  -2.37  -3.80  -0.13  -1.06  -2.66  -4.14
199509  -0.72  -1.62  -0.73   0.68  -1.22   0.61  -2.57   0.47  -0.52
199510  -3.59  -3.37  -3.46  -2.20  -4.97  -2.73  -2.68  -2.60  -4.13
199511   4.09   3.67   4.55   1.76   5.32   0.89   3.59   1.92   5.72
199512   4.65   5.61   4.19   4.15   5.51   3.10   2.79   3.24   4.51
199601   0.14   2.72  -1.43   1.47  -2.00   0.63   0.46   1.51  -1.22
199602  -0.96  -0.33  -1.02  -0.05  -1.83   0.04   0.43   0.02  -1.80
199603   2.64   2.40   2.93   1.03   3.50   0.08   2.63   1.48   3.44
199604   4.82   5.70   4.12   5.53   3.62   6.23   6.32   5.37   4.15
199605  -3.31  -3.20  -3.32  -3.57  -3.18  -4.29  -3.48  -3.67  -3.52
199606   0.34   1.58  -0.25   0.61  -0.69   1.81  -0.98  -0.21  -0.16
199607  -4.60  -4.69  -4.93  -2.84  -5.75  -3.98  -4.09  -3.28  -5.44
199608  -2.54  -2.32  -2.25  -3.03  -2.17  -2.27  -4.07  -3.10  -2.26
199609   3.53   3.42   3.21   3.88   3.58   3.46   4.12   2.36   3.44
199610  -4.88  -5.22  -5.13  -4.83  -4.69  -4.84  -5.47  -4.54  -5.27
199611   2.62   4.41   1.22   3.94   0.93   3.49   1.09   2.10   1.55
199612  -4.97  -3.69  -6.30  -2.48  -6.88  -0.65  -6.13  -4.16  -6.77
199701  -8.41  -7.64  -9.04  -4.75  -9.78  -4.51  -6.51  -6.87  -9.64
199702   2.03   0.52   2.75   3.07   1.90   1.54   1.36   0.71   2.91
199703  -3.42  -3.69  -3.21  -2.86  -4.15  -1.55  -3.00  -3.83  -3.61
199704   1.36  -1.69   2.53   1.97   0.15   1.96   2.73  -0.38   2.32
199705  11.28  12.08  12.02   8.93  14.35   9.13  13.34  10.87  11.75
199706   5.60   5.24   5.64   4.23   5.63   7.29   2.75   4.62   5.61
199707  -2.29  -4.75  -0.69   0.66  -3.36  -2.83   0.60  -4.82  -0.35
199708 -10.26  -9.03 -10.57 -10.16  -8.91 -11.81 -11.79  -9.30 -10.67
199709  -0.58  -4.82   1.47   0.76  -1.62  -3.15   2.96  -3.52   1.94
199710 -11.29  -9.02 -13.15  -9.13 -14.27  -9.28 -10.30  -5.58 -14.09
199711  -6.01 -12.35  -3.40  -6.72  -3.35  -7.73  -3.99  -8.35  -3.96
199712  -5.15  -8.68  -3.76  -5.64  -4.03  -6.77  -3.06  -7.40  -4.42
199801   5.89  24.32   2.97  11.51   5.04  12.70   2.71  13.19   2.63
199802   3.71  12.56   1.21   9.65   2.78   6.66   0.29   7.98   2.14
199803  -5.65 -10.68  -5.03  -6.43  -6.90  -6.43  -3.53  -7.71  -5.25
199804  -2.30  -6.64  -1.21  -4.18  -1.60  -3.18  -1.06  -3.94  -1.21
